sword_type,manufacturer,model,price,weight,overall_length,tip_type,link,note
Steel Messer,Arms and Armor,Messer Trainer,$470 ,2.5lbs,94cm/37in,Rounded,http://arms-n-armor.com/train237.html,
Steel Messer,Castille,Lang Messer,$470 ,2.5lbs,96.5cm/38in,Rounded,http://castillearmory.com/all-products/lang-messer/,
Steel Messer,Castille,Grosse Messer,$475 ,2.3lbs,96.5cm/38in,Rounded,http://castillearmory.com/all-products/grosse-messer/,
Steel Messer,Comfort Fencing,Basic Fechtschule,$200 ,2lbs,96cm/37.5in,Rolled,http://www.wildgeesefencing.com/shop/comfort-fencing-basic-fechtschule-messer,"RH OOS, long shipping times"
Steel Messer,Darkwood,German Langesmesser,$425 ,2.5lbs,"Blade is 27-28""",Rounded,http://www.darkwoodarmory.com/index.php?main_page=product_info&cPath=4_52&products_id=523,
Steel Messer,Ensifer,Messer,$390 ,1.9lbs,90cm/35.4in,Rounded,https://ensifer.carbonmade.com/projects/96362,
Steel Messer,Fabri Armorum,Langsmesser,$225 ,2.2lbs,76cm/30in,Rounded,http://www.wildgeesefencing.com/fabri-armourum/langsmesser-slim-blade?category=Langsmesser,
Steel Messer,Kvetun Armoury,Messer,$240 ,2.8lbs,86.5cm/34in,Rolled,https://www.facebook.com/kvetun/posts/934225440073229,
Steel Messer,Landsknecht Emporium,15th Century Munitions Messer,$135 ,1.7lbs,89cm/35in,Rolled,https://www.etsy.com/listing/271060878/made-to-order-15th-century-munitions,
Steel Messer,Purpleheart,VB Training Messer V1,$225 ,2.5lbs,86cm/34in,Rolled,https://www.woodenswords.com/Messer_Trainer_Version_1_p/messer.vb.htm,
Steel Messer,Regenyei,Messer I,$400 ,1.8lbs,88cm/34.6in,Rolled,http://www.regenyei.com/en_messer.php,"Many styles, Messer I is the simplest"
Steel Messer,St James' Armory,Langes Messer Trainer,$195 ,1.7lbs,78cm/31in,Rounded,https://www.facebook.com/stjamesarmory/photos/pcb.444576335905545/444576312572214,
Steel Messer,SGT Blades,Grosse Messer,$325 ,1.5lbs,98cm/38.5in,Rolled,http://www.sgtblades.com/gallery/training-swords.html#grossMesser2,
Synthetic Messer,Black Fencer,Langes Messer V4,$70 ,2lbs,92cm/36in,Rounded,http://www.blackfencer.com/en/home/23-like-steel-waster-langes-messer-v2.html,
Synthetic Messer,Black Fencer,Langes Messer Sharp Sim V5,$90 ,2lbs,92cm/36in,Rounded,http://www.blackfencer.com/en/home/71-like-steel-waster-langes-messer-v2.html,
